,Z,T,gradT,n,Q
mean,8.679059139771846,2069.0769669045017,-11961.406049642708,1.5626626005285224e+21,26640039326520.98
std,13.669707625116134,821.0772708470532,38088.4396154957,2.30734787567431e+21,24865097678938.598
